;UF;city;Lat;Long;height;availability;availability time
4780;RN;São Miguel de Touros;-5.125;-35.64;0.0;99.998;11.0
4781;SE;São Miguel do Aleixo;-10.388;-37.38;709.0;99.999;5.0
4782;MG;São Miguel do Anta;-20.751;-42.72;271.0;99.999;5.0
4783;GO;São Miguel do Araguaia;-13.275;-50.13;170.0;99.999;5.0
4784;PI;São Miguel do Fidalgo;-7.6;-42.37;27.0;99.999;5.0
4785;PA;São Miguel do Guamá;-1.627;-47.48;0.0;99.998;11.0
4786;RO;São Miguel do Guaporé;-11.694;-62.71;297.0;99.999;5.0
4787;PR;São Miguel do Iguaçu;-25.348;-54.24;973.0;99.999;5.0
4788;GO;São Miguel do Passa Quatro;-17.059;-48.66;405.0;99.999;5.0
4789;PI;São Miguel do Tapuio;-5.5;-41.32;152.0;99.999;5.0
4790;TO;São Miguel do Tocantins;-5.6;-47.6;0.0;99.999;5.0
4791;SC;São Miguel d'Oeste;-26.753;-53.5;0.0;99.999;5.0
4792;AL;São Miguel dos Campos;-9.758;-36.09;0.0;99.998;11.0
4793;AL;São Miguel dos Milagres;-9.266;-35.37;0.0;99.998;11.0
4794;RS;São Nicolau;-28.183;-55.27;0.0;99.999;5.0
4795;GO;São Patrício;-15.35;-49.75;574.0;99.999;5.0
4796;SP;São Paulo;-23.5;-46.64;0.0;99.999;5.0
4797;RS;São Paulo das Missões;-28.021;-54.94;0.0;99.999;5.0
4798;AM;São Paulo de Olivença;-3.378;-68.76;0.0;99.999;5.0
4799;RN;São Paulo do Potengi;-5.756;-35.76;771.0;99.999;5.0
4800;RN;São Pedro;-5.756;-35.63;134.0;99.998;11.0
4801;SP;São Pedro;-22.5;-47.91;19.0;99.999;5.0
4802;MA;São Pedro da Água Branca;-5.085;-48.43;0.0;99.999;5.0
4803;RJ;São Pedro da Aldeia;-22.755;-42.1;0.0;99.998;11.0
4804;MT;São Pedro da Cipa;-16.001;-54.92;1030.0;99.999;5.0
4805;RS;São Pedro da Serra;-29.421;-51.5;0.0;99.999;5.0
4806;MG;São Pedro da União;-21.127;-46.62;0.0;99.999;5.0
4807;SC;São Pedro de Alcântara;-27.6;-48.75;513.0;99.998;11.0
4808;RS;São Pedro do Butiá;-28.124;-54.76;382.0;99.999;5.0
4809;PR;São Pedro do Iguaçu;-24.936;-53.76;343.0;99.999;5.0
4810;PR;São Pedro do Ivaí;-23.756;-51.76;350.0;99.999;5.0
4811;PR;São Pedro do Paraná;-22.755;-53.22;543.0;99.999;5.0
4812;PI;São Pedro do Piauí;-5.929;-42.72;0.0;99.999;5.0
4813;MG;São Pedro do Suaçuí;-18.366;-42.6;525.0;99.999;5.0
4814;RS;São Pedro do Sul;-29.621;-54.18;332.0;99.999;5.0
4815;SP;São Pedro do Turvo;-22.755;-49.74;287.0;99.999;5.0
4816;MA;São Pedro dos Crentes;-6.755;-46.5;0.0;99.999;5.0
4817;MG;São Pedro dos Ferros;-20.17;-42.5;573.0;99.999;5.0
4818;RN;São Rafael;-5.76;-36.92;0.0;99.999;5.0
4819;MA;São Raimundo das Mangabeiras;-7.022;-45.48;299.0;99.999;5.0
4820;MA;São Raimundo do Doca Bezerra;-5.105;-45.08;184.0;99.999;5.0
4821;PI;São Raimundo Nonato;-9.015;-42.7;361.0;99.999;5.0
4822;MA;São Roberto;-5.021;-44.99;156.0;99.999;5.0
4823;MG;São Romão;-16.369;-45.07;516.0;99.999;5.0
4824;SP;São Roque;-23.5;-47.14;1373.0;99.999;5.0
4825;MG;São Roque de Minas;-20.245;-46.37;140.0;99.999;5.0
4826;ES;São Roque do Canaã;-19.754;-40.66;841.0;99.998;11.0
4827;TO;São Salvador do Tocantins;-12.754;-48.24;293.0;99.999;5.0
4828;AL;São Sebastião;-9.934;-36.6;684.0;99.998;11.0
4829;SP;São Sebastião;-23.756;-45.41;856.0;99.998;11.0
4830;PR;São Sebastião da Amoreira;-23.465;-50.76;11.0;99.999;5.0
4831;MG;São Sebastião da Bela Vista;-22.159;-45.75;1174.0;99.999;5.0
4832;PA;São Sebastião da Boa Vista;-1.752;-49.5;797.0;99.999;5.0
4833;SP;São Sebastião da Grama;-21.751;-46.75;0.0;99.999;5.0
4834;MG;São Sebastião da Vargem Alegre;-21.072;-42.64;339.0;99.999;5.0
4835;PB;São Sebastião de Lagoa de Roça;-7.115;-35.76;783.0;99.999;5.0
4836;RJ;São Sebastião do Alto;-21.957;-42.13;0.0;99.998;11.0
4837;MG;São Sebastião do Anta;-19.498;-41.98;594.0;99.999;5.0
4838;RS;São Sebastião do Caí;-29.6;-51.38;792.0;99.999;5.0
4839;MG;São Sebastião do Maranhão;-18.084;-42.6;881.0;99.999;5.0
4840;MG;São Sebastião do Oeste;-20.276;-45.01;0.0;99.999;5.0
4841;MG;São Sebastião do Paraíso;-20.917;-46.99;548.0;99.999;5.0
4842;BA;São Sebastião do Passé;-12.5;-38.5;880.0;99.998;11.0
4843;MG;São Sebastião do Rio Preto;-19.292;-43.17;101.0;99.999;5.0
4844;MG;São Sebastião do Rio Verde;-22.218;-44.98;0.0;99.999;5.0
4845;TO;São Sebastião do Tocantins;-5.257;-48.2;0.0;99.999;5.0
4846;AM;São Sebastião do Uatumã;-2.6;-57.76;0.0;99.999;5.0
4847;PB;São Sebastião do Umbuzeiro;-8.152;-37.01;290.0;99.999;5.0
4848;RS;São Sepé;-30.125;-53.6;0.0;99.999;5.0
4849;GO;São Simão;-18.991;-50.5;503.0;99.999;5.0
4850;SP;São Simão;-21.479;-47.6;597.0;99.999;5.0
4851;MG;São Thomé das Letras;-21.752;-44.99;1013.0;99.999;5.0
4852;MG;São Tiago;-20.913;-44.5;984.0;99.999;5.0
4853;MG;São Tomás de Aquino;-20.758;-47.1;937.0;99.999;5.0
4854;PR;São Tomé;-23.5;-52.6;333.0;99.999;5.0
